Size	(Random Case)	(Best Case)	(Worst Case)
2^2	0.000000	0.000000	0.000000
2^3	0.000001	0.000000	0.000001
2^4	0.000002	0.000000	0.000004
2^5	0.000009	0.000000	0.000016
2^6	0.000032	0.000001	0.000061
2^7	0.000124	0.000001	0.000242
2^8	0.000541	0.000002	0.001058
2^9	0.002174	0.000002	0.004010
2^10	0.007910	0.000005	0.016360
2^11	0.031476	0.000010	0.063410
2^12	0.125220	0.000016	0.267022
2^13	0.515845	0.000033	1.093451
2^14	2.165356	0.000062	4.444348
2^15	8.753162	0.000120	16.672126
2^16	32.840615	0.000236	66.920226
2^17	136.395548	0.000469	261.342483
2^18	523.135621	0.000948	1043.899683


